订单ID,订单日期,大区,省份,商品品类,销售渠道,客户名称,销售额,成本金额,毛利,订单量,是否退货
O100169,2023-01-22,西南,云南,出口商品,抖音小店,金鼎家居,12310.22,7197.76,5112.46,8,否
O100170,2023-01-22,华东,浙江,进口商品,企微私域,南粤供应链,2620.86,1868.03,752.83,57,否
O100171,2023-01-22,华中,河南,出口商品,抖音小店,海纳百川,23014.07,14708.43,8305.64,100,否
O100172,2023-01-22,华中,湖北,自有品牌,天猫旗舰店,海纳百川,3550.1,2506.47,1043.63,37,否
O100173,2023-01-22,华中,湖北,自有品牌,天猫旗舰店,金鼎家居,19388.32,14751.64,4636.68,40,否
O100174,2023-01-22,华北,北京,自有品牌,企微私域,东方明珠商行,16372.54,10241.84,6130.7,17,否
O100175,2023-01-22,华东,安徽,自有品牌,天猫旗舰店,海纳百川,11894.68,9144.26,2750.42,44,否
O100176,2023-01-22,华北,天津,出口商品,京东自营,星河零售,7958.17,5819.55,2138.62,65,否
O100177,2023-01-23,华中,湖北,自有品牌,企微私域,南粤供应链,15253.36,8930.51,6322.85,24,是
O100178,2023-01-23,华北,山东,进口商品,线下门店,海纳百川,20601.58,12456.37,8145.21,57,是
O100179,2023-01-23,华南,福建,联名款,京东自营,云端数码,6587.88,5086.42,1501.46,101,否
O100180,2023-01-23,华北,河北,联名款,线下门店,锦程贸易,19630.6,13067.47,6563.13,54,否
O100181,2023-01-23,华北,天津,自有品牌,天猫旗舰店,绿野仙踪生鲜,25246.67,17105.74,8140.93,14,否
O100182,2023-01-23,华东,浙江,进口商品,京东自营,锦程贸易,17510.29,11698.12,5812.17,107,否
O100183,2023-01-23,华东,江苏,联名款,抖音小店,华创商贸,13550.63,8688.45,4862.18,48,否
O100184,2023-01-23,西南,四川,自有品牌,京东自营,华创商贸,8512.17,4875.68,3636.49,92,否
O100185,2023-01-24,华北,天津,进口商品,抖音小店,绿野仙踪生鲜,21173.93,12321.58,8852.35,91,否
O100186,2023-01-24,西南,云南,进口商品,天猫旗舰店,华创商贸,9650.84,7161.32,2489.52,71,是
O100187,2023-01-24,华中,湖南,进口商品,抖音小店,北辰科技,9705.43,5444.58,4260.85,54,是
O100188,2023-01-24,西南,四川,进口商品,线下门店,金鼎家居,16527.0,11492.04,5034.96,74,否
O100189,2023-01-24,华北,河北,联名款,天猫旗舰店,金鼎家居,10738.87,7315.88,3422.99,24,否
O100190,2023-01-24,华中,湖南,进口商品,企微私域,云端数码,15692.8,12198.27,3494.53,71,否
O100191,2023-01-24,西南,重庆,进口商品,线下门店,海纳百川,8326.0,4610.4,3715.6,101,否
O100192,2023-01-24,华南,广东,进口商品,企微私域,海纳百川,4834.21,3050.53,1783.68,44,否
O100193,2023-01-25,西南,云南,联名款,京东自营,南粤供应链,2327.03,1695.3,631.73,59,否
O100194,2023-01-25,华南,广东,进口商品,京东自营,华创商贸,10124.9,6290.78,3834.12,51,否
O100195,2023-01-25,西南,重庆,进口商品,京东自营,锦程贸易,11326.53,8263.76,3062.77,111,否
O100196,2023-01-25,华南,广东,自有品牌,线下门店,东方明珠商行,18788.05,14199.38,4588.67,50,否
O100197,2023-01-25,华北,山东,联名款,抖音小店,云端数码,7254.64,4127.89,3126.75,55,否
O100198,2023-01-25,西南,云南,出口商品,企微私域,锦程贸易,8573.32,4873.21,3700.11,85,否
O100199,2023-01-25,华南,广西,联名款,京东自营,绿野仙踪生鲜,9307.44,5209.76,4097.68,112,否
O100200,2023-01-25,华中,湖南,自有品牌,天猫旗舰店,星河零售,19599.05,12610.58,6988.47,66,否
O100201,2023-01-26,华东,江苏,联名款,天猫旗舰店,南粤供应链,3488.88,2543.6,945.28,47,否
O100202,2023-01-26,西南,云南,进口商品,企微私域,南粤供应链,20679.96,15886.95,4793.01,48,否
O100203,2023-01-26,华东,江苏,自有品牌,线下门店,海纳百川,20649.21,12542.55,8106.66,15,否
O100204,2023-01-26,华北,山东,联名款,企微私域,星河零售,7135.0,4351.4,2783.6,58,否
O100205,2023-01-26,华中,湖南,联名款,京东自营,星河零售,4084.63,2316.12,1768.51,23,否
O100206,2023-01-26,华东,浙江,自有品牌,天猫旗舰店,云端数码,20010.79,15108.27,4902.52,109,否
O100207,2023-01-26,华北,河北,出口商品,天猫旗舰店,北辰科技,22963.19,13880.08,9083.11,64,否
O100208,2023-01-26,华南,福建,自有品牌,线下门店,云端数码,3940.46,2968.65,971.81,9,否
O100209,2023-01-27,西南,云南,联名款,企微私域,东方明珠商行,19413.78,14353.93,5059.85,10,否
O100210,2023-01-27,华南,福建,进口商品,线下门店,绿野仙踪生鲜,20710.37,13031.76,7678.61,113,否
O100211,2023-01-27,华中,湖北,出口商品,线下门店,云端数码,22839.24,12852.67,9986.57,16,否
O100212,2023-01-27,华北,河北,出口商品,京东自营,海纳百川,23420.66,14095.92,9324.74,67,否
O100213,2023-01-27,华东,浙江,出口商品,企微私域,锦程贸易,4786.4,2965.89,1820.51,69,否
O100214,2023-01-27,华中,河南,出口商品,企微私域,金鼎家居,4531.5,3178.89,1352.61,93,是
O100215,2023-01-27,华南,福建,进口商品,天猫旗舰店,星河零售,2622.24,1829.1,793.14,74,否
O100216,2023-01-27,华北,山东,进口商品,线下门店,云端数码,9372.06,7216.76,2155.3,62,否
O100217,2023-01-28,西南,重庆,联名款,天猫旗舰店,华创商贸,5319.38,3434.15,1885.23,60,否
O100218,2023-01-28,华南,福建,出口商品,抖音小店,海纳百川,18567.63,13888.19,4679.44,52,否
O100219,2023-01-28,华南,福建,进口商品,抖音小店,北辰科技,14506.36,8870.91,5635.45,32,否
O100220,2023-01-28,华东,上海,自有品牌,线下门店,金鼎家居,13648.58,10528.76,3119.82,116,否
O100221,2023-01-28,华南,福建,自有品牌,京东自营,南粤供应链,12858.03,8594.14,4263.89,64,否
O100222,2023-01-28,西南,四川,进口商品,线下门店,云端数码,14237.98,8619.21,5618.77,75,否
O100223,2023-01-28,华东,上海,自有品牌,线下门店,金鼎家居,27690.77,19396.83,8293.94,61,否
O100224,2023-01-28,华中,湖北,进口商品,线下门店,南粤供应链,26586.51,19071.22,7515.29,98,否
O100225,2023-01-29,华南,广东,联名款,天猫旗舰店,金鼎家居,16555.36,10485.84,6069.52,37,否
O100226,2023-01-29,西南,云南,联名款,企微私域,锦程贸易,20772.53,14402.54,6369.99,79,否
O100227,2023-01-29,华北,北京,联名款,抖音小店,海纳百川,14299.53,9067.18,5232.35,19,否
O100228,2023-01-29,华中,河南,联名款,企微私域,华创商贸,1896.34,1102.76,793.58,43,否
O100229,2023-01-29,华中,湖南,出口商品,企微私域,云端数码,4182.7,3196.48,986.22,41,否
O100230,2023-01-29,西南,云南,自有品牌,企微私域,海纳百川,13077.02,8725.44,4351.58,63,是
O100231,2023-01-29,华南,广西,进口商品,抖音小店,海纳百川,20527.34,15916.42,4610.92,75,否
O100232,2023-01-29,华东,安徽,自有品牌,企微私域,金鼎家居,7883.18,4428.86,3454.32,62,否
O100233,2023-01-30,华中,河南,联名款,京东自营,北辰科技,1564.01,1201.3,362.71,15,否
O100234,2023-01-30,华东,安徽,自有品牌,线下门店,南粤供应链,13492.04,8053.33,5438.71,65,是
O100235,2023-01-30,西南,云南,进口商品,京东自营,云端数码,6981.2,4361.58,2619.62,85,否
O100236,2023-01-30,华中,湖南,自有品牌,京东自营,绿野仙踪生鲜,22873.4,14381.31,8492.09,46,否
O100237,2023-01-30,华中,湖南,出口商品,京东自营,锦程贸易,14305.7,8608.02,5697.68,39,否
O100238,2023-01-30,华北,山东,自有品牌,线下门店,海纳百川,14363.8,10987.33,3376.47,93,否
O100239,2023-01-30,华南,广东,联名款,线下门店,海纳百川,23901.53,17569.1,6332.43,38,否
O100240,2023-01-30,华南,福建,进口商品,抖音小店,绿野仙踪生鲜,20009.43,14444.56,5564.87,28,否
O100241,2023-01-31,华中,湖南,自有品牌,京东自营,星河零售,15699.38,10753.62,4945.76,32,否
O100242,2023-01-31,华中,湖北,出口商品,天猫旗舰店,星河零售,12422.18,8881.76,3540.42,13,否
O100243,2023-01-31,华东,江苏,联名款,线下门店,绿野仙踪生鲜,20678.8,14968.55,5710.25,37,否
O100244,2023-01-31,华南,福建,进口商品,天猫旗舰店,金鼎家居,8859.23,6377.74,2481.49,109,否
O100245,2023-01-31,华北,山东,出口商品,天猫旗舰店,东方明珠商行,22848.94,13546.03,9302.91,96,否
O100246,2023-01-31,华东,上海,自有品牌,企微私域,金鼎家居,4245.85,3295.16,950.69,37,否
O100247,2023-01-31,华中,河南,联名款,京东自营,云端数码,12126.1,7207.11,4918.99,15,否
O100248,2023-01-31,华北,山东,自有品牌,京东自营,华创商贸,18626.15,13632.04,4994.11,73,否
O100249,2023-02-01,华北,山东,联名款,企微私域,海纳百川,2899.05,2040.72,858.33,24,否
O100250,2023-02-01,西南,重庆,出口商品,天猫旗舰店,锦程贸易,11594.88,7568.55,4026.33,35,否
O100251,2023-02-01,华南,福建,进口商品,抖音小店,海纳百川,21078.0,11894.08,9183.92,16,否
O100252,2023-02-01,华南,广东,联名款,企微私域,锦程贸易,17505.03,12199.32,5305.71,38,否
O100253,2023-02-01,华中,湖北,出口商品,京东自营,绿野仙踪生鲜,4507.09,3254.02,1253.07,78,否
O100254,2023-02-01,西南,云南,联名款,企微私域,北辰科技,19237.0,13590.53,5646.47,77,否
O100255,2023-02-01,华中,湖南,自有品牌,天猫旗舰店,金鼎家居,4042.77,2994.15,1048.62,116,否
O100256,2023-02-01,华北,天津,出口商品,抖音小店,云端数码,11492.54,8119.11,3373.43,92,是
